,movieId,mean_rating,number_of_ratings,title
482,81834,3.9893617021276597,47,Harry Potter and the Deathly Hallows: Part 1 (2010)
483,2539,3.095744680851064,47,Analyze This (1999)
484,77561,3.5106382978723403,47,Iron Man 2 (2010)
485,2717,3.0,47,Ghostbusters II (1989)
486,1921,3.851063829787234,47,Pi (1998)
487,4014,3.521276595744681,47,Chocolat (2000)
488,5679,3.202127659574468,47,"Ring, The (2002)"
489,1994,3.425531914893617,47,Poltergeist (1982)
490,2001,3.1808510638297873,47,Lethal Weapon 2 (1989)
491,7254,3.630434782608696,46,The Butterfly Effect (2004)
492,54272,3.619565217391304,46,"Simpsons Movie, The (2007)"
493,44,2.5434782608695654,46,Mortal Kombat (1995)
494,5060,3.9347826086956523,46,M*A*S*H (a.k.a. MASH) (1970)
495,802,3.3369565217391304,46,Phenomenon (1996)
496,2076,3.9456521739130435,46,Blue Velvet (1986)
497,1396,3.4782608695652173,46,Sneakers (1992)
498,4085,3.402173913043478,46,Beverly Hills Cop (1984)
499,2002,2.9347826086956523,46,Lethal Weapon 3 (1992)
500,112,3.5434782608695654,46,Rumble in the Bronx (Hont faan kui) (1995)
501,3752,3.0869565217391304,46,"Me, Myself & Irene (2000)"
502,5995,4.108695652173913,46,"Pianist, The (2002)"
503,1884,3.967391304347826,46,Fear and Loathing in Las Vegas (1998)
504,5902,3.9456521739130435,46,Adaptation (2002)
505,47099,3.7934782608695654,46,"Pursuit of Happyness, The (2006)"
506,64614,3.9456521739130435,46,Gran Torino (2008)
507,1266,4.111111111111111,45,Unforgiven (1992)
508,1250,4.122222222222222,45,"Bridge on the River Kwai, The (1957)"
509,4270,3.088888888888889,45,"Mummy Returns, The (2001)"
510,920,3.6444444444444444,45,Gone with the Wind (1939)
511,2490,3.422222222222222,45,Payback (1999)
512,31685,3.1666666666666665,45,Hitch (2005)
513,2294,3.2444444444444445,45,Antz (1998)
514,4369,3.066666666666667,45,"Fast and the Furious, The (2001)"
515,4571,3.7,45,Bill & Ted's Excellent Adventure (1989)
516,2288,3.933333333333333,45,"Thing, The (1982)"
517,236,3.477777777777778,45,French Kiss (1995)
518,4718,3.066666666666667,45,American Pie 2 (2001)
519,2890,3.7111111111111112,45,Three Kings (1999)
520,1722,3.066666666666667,45,Tomorrow Never Dies (1997)
521,6537,3.0444444444444443,45,Terminator 3: Rise of the Machines (2003)
522,1907,3.566666666666667,45,Mulan (1998)
523,1690,2.922222222222222,45,Alien: Resurrection (1997)
524,616,3.411111111111111,45,"Aristocats, The (1970)"
525,1183,3.7111111111111112,45,"English Patient, The (1996)"
526,2023,3.3555555555555556,45,"Godfather: Part III, The (1990)"
527,196,2.6666666666666665,45,Species (1995)
528,3255,3.466666666666667,45,"League of Their Own, A (1992)"
529,3863,3.0444444444444443,45,"Cell, The (2000)"
530,1371,3.0444444444444443,45,Star Trek: The Motion Picture (1979)
531,1204,4.3,45,Lawrence of Arabia (1962)
532,913,4.170454545454546,44,"Maltese Falcon, The (1941)"
533,3499,3.840909090909091,44,Misery (1990)
534,46976,3.6931818181818183,44,Stranger than Fiction (2006)
535,3755,3.1704545454545454,44,"Perfect Storm, The (2000)"
536,151,3.5454545454545454,44,Rob Roy (1995)
537,849,2.9204545454545454,44,Escape from L.A. (1996)
538,111759,3.977272727272727,44,Edge of Tomorrow (2014)
539,37729,3.534090909090909,44,Corpse Bride (2005)
540,33004,3.4204545454545454,44,"Hitchhiker's Guide to the Galaxy, The (2005)"
541,1333,3.602272727272727,44,"Birds, The (1963)"
542,52722,3.0,44,Spider-Man 3 (2007)
543,8798,3.7613636363636362,44,Collateral (2004)
544,79702,3.7045454545454546,44,Scott Pilgrim vs. the World (2010)
545,2085,3.4318181818181817,44,101 Dalmatians (One Hundred and One Dalmatians) (1961)
546,4975,3.4204545454545454,44,Vanilla Sky (2001)
547,5377,3.715909090909091,44,About a Boy (2002)
548,5903,3.875,44,Equilibrium (2002)
549,76251,3.6511627906976742,43,Kick-Ass (2010)
550,87232,3.7906976744186047,43,X-Men: First Class (2011)
551,60684,3.988372093023256,43,Watchmen (2009)
552,134853,3.813953488372093,43,Inside Out (2015)
553,47610,3.7790697674418605,43,"Illusionist, The (2006)"
554,3448,3.802325581395349,43,"Good Morning, Vietnam (1987)"
555,1262,4.127906976744186,43,"Great Escape, The (1963)"
556,1263,3.8255813953488373,43,"Deer Hunter, The (1978)"
557,852,3.1744186046511627,43,Tin Cup (1996)
558,1376,3.4767441860465116,43,Star Trek IV: The Voyage Home (1986)
559,1597,2.941860465116279,43,Conspiracy Theory (1997)
560,1876,3.0697674418604652,43,Deep Impact (1998)
561,2161,3.5813953488372094,43,"NeverEnding Story, The (1984)"
562,2278,3.5232558139534884,43,Ronin (1998)
563,2407,3.2674418604651163,43,Cocoon (1985)
564,2455,3.383720930232558,43,"Fly, The (1986)"
565,497,3.813953488372093,43,Much Ado About Nothing (1993)
566,3275,4.22093023255814,43,"Boondock Saints, The (2000)"
567,3363,3.8488372093023258,43,American Graffiti (1973)
568,2605,2.988372093023256,43,Entrapment (1999)
569,252,3.453488372093023,43,I.Q. (1994)
570,3624,3.1511627906976742,43,Shanghai Noon (2000)
571,4310,2.9651162790697674,43,Pearl Harbor (2001)
572,8984,3.2906976744186047,43,Ocean's Twelve (2004)
573,91658,3.488095238095238,42,"Girl with the Dragon Tattoo, The (2011)"
574,1967,3.8214285714285716,42,Labyrinth (1986)
575,1909,3.4404761904761907,42,"X-Files: Fight the Future, The (1998)"
576,261,3.880952380952381,42,Little Women (1994)
577,785,3.369047619047619,42,Kingpin (1996)
578,1562,2.2142857142857144,42,Batman & Robin (1997)
579,59369,3.619047619047619,42,Taken (2008)
580,2273,3.261904761904762,42,Rush Hour (1998)
581,1375,3.261904761904762,42,Star Trek III: The Search for Spock (1984)
582,1372,3.3452380952380953,42,Star Trek VI: The Undiscovered Country (1991)
583,1022,3.488095238095238,42,Cinderella (1950)
584,1042,3.2738095238095237,42,That Thing You Do! (1996)
585,1088,3.369047619047619,42,Dirty Dancing (1987)
586,81591,3.630952380952381,42,Black Swan (2010)
587,1094,3.4404761904761907,42,"Crying Game, The (1992)"
588,2915,3.4404761904761907,42,Risky Business (1983)
589,3210,3.4761904761904763,42,Fast Times at Ridgemont High (1982)
590,69757,3.6666666666666665,42,(500) Days of Summer (2009)
591,441,3.9285714285714284,42,Dazed and Confused (1993)
592,2724,2.8333333333333335,42,Runaway Bride (1999)
593,3868,3.4047619047619047,42,"Naked Gun: From the Files of Police Squad!, The (1988)"
594,355,2.357142857142857,42,"Flintstones, The (1994)"
595,3301,3.5238095238095237,42,"Whole Nine Yards, The (2000)"
596,431,3.738095238095238,42,Carlito's Way (1993)
597,57669,4.158536585365853,41,In Bruges (2008)
598,1242,4.170731707317073,41,Glory (1989)
599,5810,3.292682926829268,41,8 Mile (2002)
600,115617,3.8536585365853657,41,Big Hero 6 (2014)
601,122886,3.8536585365853657,41,Star Wars: Episode VII - The Force Awakens (2015)
602,3418,3.4634146341463414,41,Thelma & Louise (1991)
603,7373,3.3780487804878048,41,Hellboy (2004)
604,1285,3.731707317073171,41,Heathers (1989)
605,55247,3.902439024390244,41,Into the Wild (2007)
606,2968,3.731707317073171,41,Time Bandits (1981)
607,543,3.317073170731707,41,So I Married an Axe Murderer (1993)
608,494,3.3780487804878048,41,Executive Decision (1996)
609,762,2.4146341463414633,41,Striptease (1996)
610,45517,3.3780487804878048,41,Cars (2006)
611,3916,3.7439024390243905,41,Remember the Titans (2000)
612,3617,3.0853658536585367,41,Road Trip (2000)
613,2087,3.573170731707317,41,Peter Pan (1953)
614,4299,3.341463414634146,41,"Knight's Tale, A (2001)"
615,2003,3.3780487804878048,41,Gremlins (1984)
